filename,date,open,close,high,low,volume,Empfehlung
agieth,2019-08-21,1.7446E-4,1.7446E-4,1.7446E-4,1.7446E-4,1480.0000000000002,V0
agiusd,2019-08-21,0.03747,0.03801,0.03801,0.03747,1692.0,H3
abseth,2019-08-21,6.868E-5,6.868E-5,6.868E-5,6.868E-5,330.99809836,H3
absusd,2019-08-21,0.012955000000000001,0.012931,0.012955000000000001,0.012909,856.1999999999998,H3
agibtc,2019-08-21,3.23E-6,3.23E-6,3.23E-6,3.23E-6,1099.48466258,H3
aidbtc,2019-08-21,1.55E-6,8.0E-7,1.55E-6,8.0E-7,5128.2052,H3
aideth,2019-08-21,5.554E-5,5.565E-5,5.565E-5,5.554E-5,2430.0,H3
aidusd,2019-08-21,0.01043,0.01043,0.01043,0.01043,3977.7902,H0
aiobtc,2019-08-21,8.164E-6,8.158E-6,8.164E-6,8.158E-6,489.9,H3
aioeth,2019-08-21,3.848E-4,3.844E-4,3.848E-4,3.844E-4,95.95,H3
aiousd,2019-08-21,0.0749,0.0749,0.0749,0.0749,69.86000053,H3
algbtc,2019-08-21,5.6000000000000006E-5,5.6000000000000006E-5,5.6000000000000006E-5,5.6000000000000006E-5,684.14787,H0
algusd,2019-08-21,0.57,0.57,0.57,0.57,197.0,H3
algust,2019-08-21,0.5665899999999999,0.5665899999999999,0.5665899999999999,0.5665899999999999,556.99935,H3
ampbtc,2019-08-21,6.8E-5,6.8E-5,6.8E-5,6.8E-5,251.18569421,H3
ampusd,2019-08-21,0.6766,0.6772,0.6773,0.6766,206.07418435,H3
ampust,2019-08-21,0.6774,0.6768,0.6774,0.6768,331.51304519,H3
antbtc,2019-08-21,6.617E-5,6.617E-5,6.617E-5,6.617E-5,55.78,H3
anteth,2019-08-21,0.003553,0.003555,0.003555,0.003553,67.69,H3
antusd,2019-08-21,0.6,0.6,0.6,0.6,49.36,H3
asteth,2019-08-21,1.476E-4,1.476E-4,1.476E-4,1.476E-4,502.4,H3
