filename,date,open,close,high,low,volume,Empfehlung
xlmeur,2019-08-19,0.06400959,0.06400959,0.06400959,0.06400959,1452.59579067,H3
xlmgbp,2019-08-19,0.059391,0.059391,0.059391,0.059391,44.5433249,H3
xlmjpy,2019-08-19,7.66839958,7.66839958,7.66839958,7.66839958,45.53855864,H3
xlmusd,2019-08-19,0.072116,0.072116,0.072116,0.072116,5000.0,H3
xmrbtc,2019-08-19,0.0082112,0.0082021,0.0082112,0.0082021,5.0,H3
xmrusd,2019-08-19,90.1,90.1,90.1,90.1,1.6106548,H3
xraeth,2019-08-19,4.388E-5,4.388E-5,4.388E-5,4.388E-5,663.4,H3
xrausd,2019-08-19,0.0081518,0.0081518,0.0081518,0.0081518,380.372041,K0
xrpbtc,2019-08-19,2.585E-5,2.585E-5,2.585E-5,2.585E-5,40.0,H3
xrpusd,2019-08-19,0.2682,0.2682,0.2682,0.2682,1861.0,H3
xtzbtc,2019-08-19,1.1100000000000001E-4,1.1100000000000001E-4,1.1100000000000001E-4,1.1100000000000001E-4,417.61007114,H3
xtzusd,2019-08-19,1.2133,1.2133,1.2133,1.2133,139.31539216,K3
xvgbtc,2019-08-19,4.8E-7,4.8E-7,4.8E-7,4.8E-7,742.211573,H3
xvgeth,2019-08-19,2.6600000000000003E-5,2.6600000000000003E-5,2.6600000000000003E-5,2.6600000000000003E-5,682.0,H3
xvgeur,2019-08-19,0.005099,0.005104,0.005104,0.005099,18860.0,H3
xvggbp,2019-08-19,0.0042891000000000006,0.0042891000000000006,0.0042891000000000006,0.0042891000000000006,682.0,H3
xvgjpy,2019-08-19,0.55456982,0.55456982,0.55456982,0.55456982,682.0,H3
xvgusd,2019-08-19,0.0054214,0.0054216,0.0054216,0.0054214,727.22099265,H3
yggeth,2019-08-19,3.017E-6,3.017E-6,3.017E-6,3.017E-6,61260.0,H0
yggusd,2019-08-19,5.8003E-4,5.7699E-4,5.8003E-4,5.7699E-4,58382.510708,H0
yywbtc,2019-08-19,1.259E-6,1.175E-6,1.259E-6,1.175E-6,567.8,H3
yyweth,2019-08-19,6.176E-5,6.176E-5,6.176E-5,6.176E-5,859.0,H3
yywusd,2019-08-19,0.01334,0.01335,0.01335,0.01334,3210.0,H3
zbtusd,2019-08-19,0.35486,0.35486,0.35486,0.35486,36.097,H0
zbtust,2019-08-19,0.35286999999999996,0.35286999999999996,0.35286999999999996,0.35286999999999996,10.0,H0
zcnbtc,2019-08-19,1.042E-5,1.042E-5,1.042E-5,1.042E-5,302.3,H3
zcneth,2019-08-19,2.862E-4,2.846E-4,2.862E-4,2.846E-4,648.2,H3
zcnusd,2019-08-19,0.05317,0.05354,0.05355,0.05316,1530.0,H3
zecbtc,2019-08-19,0.004973699999999999,0.004973699999999999,0.004973699999999999,0.004973699999999999,5.0,H3
zecusd,2019-08-19,54.104,54.104,54.104,54.104,14.0,H3
zileth,2019-08-19,4.399E-5,4.173E-5,4.399E-5,4.173E-5,4253.0,H3
zilusd,2019-08-19,0.008001000000000001,0.0076035,0.008001000000000001,0.0076035,7706.798794190001,H0
zrxbtc,2019-08-19,1.608E-5,1.608E-5,1.608E-5,1.608E-5,124.0,H3
zrxdai,2019-08-19,0.1772,0.1772,0.1772,0.1772,17.04,H3
zrxeth,2019-08-19,8.7114E-4,8.7114E-4,8.7114E-4,8.7114E-4,33.6581076,H3
zrxusd,2019-08-19,0.17525,0.17525,0.17525,0.17525,111.0,H3
