filename,date,open,close,high,low,volume,Empfehlung
abseth,2019-08-06,8.783E-5,8.675E-5,8.783E-5,8.675E-5,440.34381733,V0
absusd,2019-08-06,0.019547,0.020085,0.020085,0.019547,441.22626987,H3
agibtc,2019-08-06,2.48E-6,2.48E-6,2.48E-6,2.48E-6,499.5,H3
agieth,2019-08-06,1.529E-4,1.529E-4,1.529E-4,1.529E-4,337.9,H3
agiusd,2019-08-06,0.030031,0.03,0.030031,0.03,1921.85102519,H3
aidbtc,2019-08-06,1.03E-6,1.03E-6,1.03E-6,1.03E-6,196.55438225,V0
aideth,2019-08-06,4.812E-5,4.812E-5,4.812E-5,4.812E-5,768.5,H3
aidusd,2019-08-06,0.012013,0.012,0.012013,0.012,392.55438225,H0
aiobtc,2019-08-06,5.47E-6,5.45E-6,5.47E-6,5.45E-6,998.7,H0
aioeth,2019-08-06,3.87E-4,3.87E-4,3.87E-4,3.87E-4,319.3,H3
aiousd,2019-08-06,0.086667,0.0866,0.086667,0.0866,619.81183557,H0
algbtc,2019-08-06,6.13E-5,6.13E-5,6.13E-5,6.13E-5,414.88310252,H3
algusd,2019-08-06,0.71409,0.71409,0.71409,0.71409,44.68484,V0
algust,2019-08-06,0.6926100000000001,0.6926100000000001,0.6926100000000001,0.6926100000000001,556.99935,H3
ampusd,2019-08-06,0.9517,0.9517,0.9517,0.9517,346.07735842,H3
ampust,2019-08-06,0.9609,0.9576,0.9609,0.9576,374.53473013,H3
antbtc,2019-08-06,7.340000000000001E-5,7.347E-5,7.347E-5,7.340000000000001E-5,21.73387097,H3
anteth,2019-08-06,0.004122,0.00411,0.004147,0.004109,24.23,H3
antusd,2019-08-06,0.6,0.6,0.6,0.6,68.99,H3
asteth,2019-08-06,1.649E-4,1.649E-4,1.649E-4,1.649E-4,440.8,H3
astusd,2019-08-06,0.03615,0.02722,0.04747,0.02722,926.5,H3
atmbtc,2019-08-06,4.0E-8,4.0E-8,4.0E-8,4.0E-8,396723.13877879,H3
atmeth,2019-08-06,2.705E-6,2.705E-6,2.705E-6,2.705E-6,45210.0,H3
atmusd,2019-08-06,4.3044E-4,4.3019999999999994E-4,4.3044E-4,4.3019999999999994E-4,47306.870492,H0
atobtc,2019-08-06,3.0939E-4,3.0939E-4,3.0939E-4,3.0939E-4,11.51851971,H3
atoeth,2019-08-06,0.015625999999999998,0.015606,0.015625999999999998,0.015606,399.69185853,H3
atousd,2019-08-06,3.5416,3.5416,3.5416,3.5416,1.00312422,H3
aucbtc,2019-08-06,5.5E-7,5.0E-7,5.5E-7,5.0E-7,23071.49273673,H3
auceth,2019-08-06,3.513E-5,3.513E-5,3.513E-5,3.513E-5,624.0,H3
aucusd,2019-08-06,0.0061145,0.0052,0.0061145,0.0052,32030.50044475,H0
avtbtc,2019-08-06,1.02E-5,1.02E-5,1.02E-5,1.02E-5,115.2,H0
avteth,2019-08-06,8.116E-4,8.116E-4,8.116E-4,8.116E-4,134.9,H3
avtusd,2019-08-06,0.1307,0.1323,0.1323,0.1307,433.8,H0
babbtc,2019-08-06,0.0293,0.0293,0.0293,0.0293,1.01200907,V0
babusd,2019-08-06,336.04,335.61,336.04,335.61,26.95864066,H3
babust,2019-08-06,332.94,332.47,332.94,332.47,0.7936493,H3
batbtc,2019-08-06,1.896E-5,1.895E-5,1.896E-5,1.895E-5,1432.0,H0
bateth,2019-08-06,9.585E-4,9.585E-4,9.585E-4,9.585E-4,2222.0,H0
batusd,2019-08-06,0.22055999999999998,0.22266,0.22266,0.22055999999999998,6000.0,H3
bbneth,2019-08-06,1.336E-6,1.336E-6,1.336E-6,1.336E-6,10930.0,H3
bbnusd,2019-08-06,4.14E-4,4.14E-4,4.14E-4,4.14E-4,10425.498,H3
bcibtc,2019-08-06,4.5E-6,4.5E-6,4.5E-6,4.5E-6,370.7,H3
bciusd,2019-08-06,0.0583,0.0583,0.0583,0.0583,595.7101547999999,H3
bftbtc,2019-08-06,2.319E-6,2.319E-6,2.319E-6,2.319E-6,885.0,H0
bfteth,2019-08-06,1.253E-4,1.253E-4,1.253E-4,1.253E-4,4925.0,H0
bftusd,2019-08-06,0.0268,0.02679,0.0268,0.02679,495.4,H0
bntbtc,2019-08-06,4.244E-5,4.244E-5,4.244E-5,4.244E-5,103.9,H3
bnteth,2019-08-06,0.002108,0.002108,0.002109,0.002108,3.934,H3
bntusd,2019-08-06,0.46041000000000004,0.46041000000000004,0.46041000000000004,0.46041000000000004,11.968516000000001,H3
boxeth,2019-08-06,7.8E-5,7.8E-5,7.8E-5,7.8E-5,768.97676467,V0
boxusd,2019-08-06,0.018019,0.018000000000000002,0.018019,0.018000000000000002,368.0,H0
bsvbtc,2019-08-06,0.012841,0.012846999999999999,0.012846999999999999,0.012841,26.20700936,H3
bsvusd,2019-08-06,147.24,147.48,147.48,147.24,12.93090252,H3
btceur,2019-08-06,10242.0,10242.0,10242.0,10242.0,0.6448881900000001,H0
btcgbp,2019-08-06,9437.7,9437.7,9437.7,9437.7,0.02385947,H0
btcjpy,2019-08-06,1219500.0,1219400.0,1219500.0,1219400.0,0.66213362,H0
btcusd,2019-08-06,11474.0,11472.0,11474.0,11471.20065,2.2642137000000004,H0
btcust,2019-08-06,11482.0,11482.0,11482.0,11482.0,0.49,H0
btcxch,2019-08-06,11192.0,11192.0,11192.0,11192.0,4.0E-4,H0
btgbtc,2019-08-06,0.0014786,0.0014822000000000001,0.0014822000000000001,0.0014785,9.66079581,H3
btgusd,2019-08-06,17.000999999999998,16.962,17.000999999999998,16.962,68.0,H3
bttbtc,2019-08-06,6.0E-8,6.0E-8,6.0E-8,6.0E-8,876500.0,V0
bttusd,2019-08-06,7.55E-4,7.55E-4,7.55E-4,7.55E-4,76668.05511818,H0
cbtbtc,2019-08-06,5.624E-6,5.553E-6,5.624E-6,5.553E-6,23910.0,V0
cbteth,2019-08-06,2.625E-4,2.533E-4,2.625E-4,2.533E-4,3076.0,V0
cbtusd,2019-08-06,0.08694,0.08696,0.08696,0.08694,1995.0,H0
clobtc,2019-08-06,1.7E-7,1.7E-7,1.7E-7,1.7E-7,5860.07925113,V0
clousd,2019-08-06,0.0017000999999999997,0.0017,0.0017000999999999997,0.0017,10000.0,H3
cndbtc,2019-08-06,8.221E-7,8.221E-7,8.221E-7,8.221E-7,2430.0,H3
cndeth,2019-08-06,4.157E-5,4.157E-5,4.157E-5,4.157E-5,4330.0,H3
cndusd,2019-08-06,0.009506,0.009273,0.009506,0.009273,1644.0,H3
cnneth,2019-08-06,6.6E-7,6.6E-7,6.6E-7,6.6E-7,78027.46566792,H0
cnnusd,2019-08-06,1.5016E-4,1.5E-4,1.5016E-4,1.5E-4,77715.65115151,H0
csxeth,2019-08-06,2.308E-4,2.308E-4,2.308E-4,2.308E-4,231.5,H3
csxusd,2019-08-06,0.07953,0.07953,0.07953,0.07953,178.9,V0
ctxbtc,2019-08-06,1.239E-5,1.239E-5,1.24E-5,1.239E-5,1572.0,H3
ctxeth,2019-08-06,6.351E-4,6.351E-4,6.351E-4,6.351E-4,68.62,H3
ctxusd,2019-08-06,0.1291,0.1291,0.1291,0.1291,36.49,H0
dadbtc,2019-08-06,5.128E-6,5.093E-6,5.128E-6,5.093E-6,630.1,H3
dadeth,2019-08-06,3.0E-4,3.0E-4,3.0E-4,3.0E-4,100.0,H3
dadusd,2019-08-06,0.06651,0.06652,0.06652,0.06651,1032.0,H3
daibtc,2019-08-06,8.442E-5,8.442E-5,8.442E-5,8.442E-5,359.70791,H0
daieth,2019-08-06,0.0044486000000000005,0.0044486000000000005,0.0044486000000000005,0.0044486000000000005,5384.0,H0
daiusd,2019-08-06,1.0041,1.0042,1.0042,1.0041,519.44351953,H3
datbtc,2019-08-06,1.05E-6,1.04E-6,1.05E-6,1.04E-6,999.6554221000001,V0
dateth,2019-08-06,5.293E-5,5.292E-5,5.293E-5,5.292E-5,1000.0,H0
datusd,2019-08-06,0.012095,0.012081999999999999,0.012095,0.012081999999999999,5299.55458571,H3
dgbbtc,2019-08-06,8.8E-7,8.8E-7,8.8E-7,8.8E-7,3375.18652977,H0
dgbusd,2019-08-06,0.0095712,0.0095712,0.0095712,0.0095712,12771.88706786,V0
