filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-12-20,16410.0,16425.0,16451.0,16409.16203958,16.15395964,H0
yywusd,2017-12-20,0.39289,0.39289,0.39289,0.39289,232.57115444,H0
btceur,2017-12-20,13826.0,13810.0,13839.0,13810.0,0.7047207,H0
xrpbtc,2017-12-20,4.349E-5,4.349E-5,4.35E-5,4.321E-5,1735.49451422,H0
qsheth,2017-12-20,0.0011948,0.0011948,0.0011948,0.0011948,300.73227887,H0
rrtusd,2017-12-20,0.25148000000000004,0.25148000000000004,0.25148000000000004,0.25148000000000004,76.56647183,H0
sanbtc,2017-12-20,2.7004E-4,2.7005E-4,2.7005E-4,2.7004E-4,40.0,H0
qshbtc,2017-12-20,5.920000000000001E-5,5.8399999999999997E-5,5.920000000000001E-5,5.8399999999999997E-5,135.0,H0
avteth,2017-12-20,0.0049960000000000004,0.0049960000000000004,0.0049960000000000004,0.0049960000000000004,20.0,H0
edoeth,2017-12-20,0.004209,0.004209,0.004209,0.004209,10.0,H0
qtmeth,2017-12-20,0.069244,0.069244,0.069244,0.069244,18.0,H0
iotbtc,2017-12-20,2.9699E-4,2.9699E-4,2.97E-4,2.9693E-4,578.4252297999999,H0
datusd,2017-12-20,0.24784,0.24784,0.24784,0.24784,100.0,H0
dateth,2017-12-20,3.181E-4,3.1473E-4,3.1811E-4,3.1472E-4,952.60312425,H0
dshbtc,2017-12-20,0.086899,0.086899,0.0869,0.086899,6.67796272,H0
etpeth,2017-12-20,0.005157800000000001,0.0051576999999999994,0.005157800000000001,0.0051576999999999994,1000.0,V2
xrpusd,2017-12-20,0.71209,0.7140000000000001,0.7140000000000001,0.71038,22592.03086404,H0
saneth,2017-12-20,0.005726,0.005726,0.005726,0.005726,16.9084802,V2
sanusd,2017-12-20,4.4471,4.4471,4.4471,4.4471,103.64586239,H0
omgeth,2017-12-20,0.022109999999999998,0.022401,0.02242,0.022109999999999998,1264.2295060000001,V2
avtbtc,2017-12-20,2.369E-4,2.369E-4,2.369E-4,2.369E-4,12.86477623,H0
xmrusd,2017-12-20,469.99,470.99,470.99,469.52,74.60498989,H0
ethusd,2017-12-20,795.7,794.94,796.94,794.22,108.03101132,H0
eoseth,2017-12-20,0.013163999999999999,0.013276,0.013276,0.013163999999999999,272.27029301,H0
neousd,2017-12-20,75.899,76.09899999999999,76.348,75.899,186.53764744,K1
qshusd,2017-12-20,0.96,0.9679,0.9679,0.96,416.81266753,H0
zecusd,2017-12-20,665.0,663.92,665.0,663.92,48.0719244,H0
datbtc,2017-12-20,1.509E-5,1.507E-5,1.509E-5,1.507E-5,1176.0,V2
omgbtc,2017-12-20,0.0010804999999999999,0.0010804999999999999,0.0010804999999999999,0.0010804999999999999,5.3706,H0
rrtbtc,2017-12-20,1.65E-5,1.65E-5,1.65E-5,1.65E-5,37000.10229787,H0
edousd,2017-12-20,3.2855,3.2855,3.2855,3.2855,500.0,H0
neoeth,2017-12-20,0.094493,0.094493,0.094493,0.094493,5.27638607,V2
omgusd,2017-12-20,17.807000000000002,17.807000000000002,17.808,17.807000000000002,151.22223,V2
btgbtc,2017-12-20,0.02376,0.023952,0.023958,0.02376,64.13184645,H0
eosbtc,2017-12-20,6.3501E-4,6.3504E-4,6.3504E-4,6.3501E-4,251.248,H0
zecbtc,2017-12-20,0.04069,0.040513,0.040760000000000005,0.040513,36.91999385,H0
etpbtc,2017-12-20,2.5108E-4,2.5109E-4,2.5109E-4,2.5108E-4,1304.88649396,H0
iotusd,2017-12-20,4.8784,4.8731,4.8878,4.8731,680.21849494,H0
ltcbtc,2017-12-20,0.018548,0.018534000000000002,0.018548,0.018534000000000002,5.16897131,K1
btgusd,2017-12-20,391.0,390.0,391.0,388.7,50.12056496,H0
yyweth,2017-12-20,4.980000000000001E-4,4.980000000000001E-4,4.980000000000001E-4,4.980000000000001E-4,60.0,H0
qtmbtc,2017-12-20,0.0033079,0.003307,0.0033079,0.003307,66.69239999999999,H0
dshusd,2017-12-20,1425.1,1432.5,1432.5,1425.1,0.72111931,H0
eosusd,2017-12-20,10.44,10.45,10.45,10.44,290.51750348,H0
edobtc,2017-12-20,2.0E-4,2.0E-4,2.0E-4,2.0E-4,1000.0,H0
etpusd,2017-12-20,4.12,4.12,4.12,4.12,15.041000699999998,H0
xmrbtc,2017-12-20,0.028667,0.028744,0.028744,0.028406999999999998,59.57501644,H0
etcusd,2017-12-20,38.997,38.999,38.999,38.905,1279.5439885,H0
ioteth,2017-12-20,0.0061408999999999995,0.0061408999999999995,0.0061408999999999995,0.0061408999999999995,132.9977837,H0
ltcusd,2017-12-20,304.53,304.31,304.65,303.55,63.89858163,H0
avtusd,2017-12-20,3.9145,3.9145,3.9145,3.9145,150.0,H0
qtmusd,2017-12-20,54.333999999999996,54.61,54.61,54.31399999999999,491.09593702,H0
etcbtc,2017-12-20,0.0023763,0.0023777,0.0023777,0.0023758000000000004,181.3421753,H0
yywbtc,2017-12-20,2.401E-5,2.4E-5,2.401E-5,2.4E-5,5180.30284648,H0
