filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-11-06,714.09,713.95,714.09,713.95,2.37155294,K1
rrtusd,2016-11-06,0.061,0.061,0.061,0.061,79.40695716,H0
ethbtc,2016-11-06,0.015327,0.015327,0.015327,0.015327,0.8293653,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-11-06,10.91,10.91,10.992,10.91,51.06350000000001,H0
zecusd,2016-11-06,333.0,333.0,333.0,333.0,0.04630198,H0
zecbtc,2016-11-06,0.45513000000000003,0.45513000000000003,0.45513000000000003,0.45513000000000003,0.0464,H0
ltcbtc,2016-11-06,0.00547,0.00547,0.00547,0.00547,0.5638500799999999,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-11-06,0.9903,0.9858,0.9903,0.9858,365.69367821,K1
ltcusd,2016-11-06,3.9184,3.9184,3.9184,3.9184,1.54117879,H0
etcbtc,2016-11-06,0.001382,0.001382,0.001382,0.001382,1336.6723220000001,H0
