filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2018-05-19,8243.0,8231.0,8247.1,8231.0,2.41742163,V2
neojpy,2018-05-19,6535.7840590000005,6535.7840590000005,6535.7840590000005,6535.7840590000005,12.5523,V2
yywusd,2018-05-19,0.12393,0.12262999999999999,0.12393,0.12262999999999999,100000.0,H0
tnbusd,2018-05-19,0.045824000000000004,0.045817000000000004,0.045824000000000004,0.045817000000000004,22573.68876554,H0
btceur,2018-05-19,6991.3,6991.3,6991.3,6991.3,0.06442162,V2
xvgbtc,2018-05-19,6.45E-6,6.48E-6,6.48E-6,6.45E-6,1000.0,H0
rcnbtc,2018-05-19,1.399E-5,1.399E-5,1.399E-5,1.399E-5,19.6181185,H0
etheur,2018-05-19,587.55822892,587.55822892,587.55822892,587.55822892,0.12,H0
xrpbtc,2018-05-19,8.196E-5,8.185E-5,8.196E-5,8.185E-5,444.09903408,H0
xvgeur,2018-05-19,0.04521972,0.04521972,0.04521972,0.04521972,1550.3876,H0
dthbtc,2018-05-19,9.5E-6,8.39E-6,9.5E-6,8.39E-6,2233.424,H0
qsheth,2018-05-19,8.449999999999999E-4,8.449999999999999E-4,8.449999999999999E-4,8.449999999999999E-4,503.35621301,H0
rrtusd,2018-05-19,0.050401,0.050401,0.050401,0.050401,4994.99999999,H0
sntbtc,2018-05-19,1.389E-5,1.389E-5,1.389E-5,1.389E-5,3659.35729626,K1
ethjpy,2018-05-19,76959.41117473,76959.41117473,76959.41117473,76959.41117473,0.45081000000000004,H0
rlcusd,2018-05-19,2.131,2.1301,2.131,2.1301,92.9,V2
batusd,2018-05-19,0.3552,0.3552,0.3552,0.3552,150.0,H0
sanbtc,2018-05-19,1.581E-4,1.581E-4,1.581E-4,1.581E-4,850.0,H0
gntusd,2018-05-19,0.52789,0.52789,0.52789,0.52789,115.32888763,H0
repeth,2018-05-19,0.076462,0.07588099999999999,0.076462,0.07588099999999999,19.96,H0
waxbtc,2018-05-19,3.148E-5,3.152E-5,3.152E-5,3.148E-5,2715.98039003,K1
xlmgbp,2018-05-19,0.23587637,0.23587637,0.23587637,0.23587637,261.28226,H0
lrcbtc,2018-05-19,7.58E-5,7.58E-5,7.58E-5,7.58E-5,100.0,H0
qshbtc,2018-05-19,7.069E-5,7.069E-5,7.069E-5,7.069E-5,122.49889103,H0
antusd,2018-05-19,4.002,4.0,4.002,4.0,13.03906887,H0
avteth,2018-05-19,0.0019,0.0019,0.0019,0.0019,112.82799999999999,K1
edoeth,2018-05-19,0.0025981999999999997,0.0025989999999999997,0.0025989999999999997,0.0025981999999999997,292.85911810000005,H0
elfbtc,2018-05-19,1.5931E-4,1.5931E-4,1.5931E-4,1.5909E-4,108.9,H0
odeeth,2018-05-19,2.5299999999999997E-4,2.5365E-4,2.5365E-4,2.5299999999999997E-4,2500.0,H0
zrxbtc,2018-05-19,1.7755E-4,1.7755E-4,1.7755E-4,1.7755E-4,55.86724866,H0
rcnusd,2018-05-19,0.11959000000000002,0.11959000000000002,0.11959000000000002,0.11959000000000002,130.0,H0
aidusd,2018-05-19,0.24325,0.24325,0.24325,0.24325,82.0,H0
qtmeth,2018-05-19,0.023048,0.023009,0.023048,0.023009,16.60533,H0
iotbtc,2018-05-19,2.1229E-4,2.1229E-4,2.1229E-4,2.1229E-4,200.4008016,K1
xvgjpy,2018-05-19,5.82781464,5.82781464,5.82781464,5.82781464,500.0,H0
datusd,2018-05-19,0.09800299999999999,0.09800299999999999,0.09800299999999999,0.09800299999999999,388.0,H0
bcibtc,2018-05-19,8.05E-4,8.097000000000001E-4,8.097000000000001E-4,8.05E-4,30.5147709,H0
bftusd,2018-05-19,0.21350999999999998,0.2139,0.2139,0.21350999999999998,707.5025837000001,H0
dateth,2018-05-19,1.4202E-4,1.4201E-4,1.4202E-4,1.4201E-4,2149.97982,H0
dshbtc,2018-05-19,0.046702,0.0467,0.046702,0.0467,6.037000000000001,H0
etpeth,2018-05-19,0.0011368,0.0011182,0.0011368,0.0011182,4961.291108330001,H0
xrpusd,2018-05-19,0.67453,0.67476,0.67527,0.67427,11684.64932432,H0
poausd,2018-05-19,0.5402,0.5402,0.5402,0.5402,50.0,H0
elfeth,2018-05-19,0.0018887,0.0018882000000000003,0.001889,0.0018882000000000003,95.45,H0
mtnusd,2018-05-19,0.155,0.155,0.155,0.155,4217.70438645,H0
btcjpy,2018-05-19,912339.9999997,912339.9999997,912339.9999997,912339.9999997,0.05,V2
saneth,2018-05-19,0.0018533000000000002,0.0018533000000000002,0.0018533000000000002,0.0018533000000000002,46.44904122,H0
xvgusd,2018-05-19,0.053296,0.053296,0.053296,0.053296,9269.0,H0
lrcusd,2018-05-19,0.6307,0.6307,0.6307,0.6307,104.27854598,H0
sanusd,2018-05-19,1.2838,1.2838,1.2838,1.2838,15.0,H0
aidbtc,2018-05-19,2.881E-5,2.881E-5,2.881E-5,2.881E-5,727.17339536,K1
spkusd,2018-05-19,0.14877,0.14877,0.14877,0.14877,200.0,V2
rdneth,2018-05-19,0.0024916,0.0024916,0.0024916,0.0024916,163.79878733,H0
omgeth,2018-05-19,0.018006,0.018002,0.018006,0.018002,99.99935507,H0
sntusd,2018-05-19,0.11313,0.11313,0.11313,0.11313,337.64907659,V2
aioeth,2018-05-19,0.0030768,0.0030768,0.0030768,0.0030768,9.99,H0
anteth,2018-05-19,0.00556,0.0055481,0.00556,0.0055481,15.52505913,H0
