filename,date,open,close,high,low,volume,PPO_RESULT
omnusd,2019-03-11,2.8,2.8,2.8,2.8,14.26811673,V2
btcusd,2019-03-11,3951.7,3949.1,3951.7,3947.0,17.05003343,H0
neojpy,2019-03-11,989.01483961,988.93697056,989.01483961,988.93697056,51.30115437,H0
yywusd,2019-03-11,0.01915,0.01915,0.01915,0.01915,12979.0,V2
euteur,2019-03-11,1.0099,1.01,1.01,1.0099,250.0,V2
gotusd,2019-03-11,0.55,0.55,0.55,0.55,216.6,K1
pasusd,2019-03-11,0.0031,0.0031,0.0031,0.0031,16740.246640190002,H0
csxusd,2019-03-11,0.073422,0.073422,0.073422,0.073422,557.50682946,H0
tnbusd,2019-03-11,0.00322,0.00322,0.00322,0.00322,457.58621727,K1
udcusd,2019-03-11,1.0343,1.0343,1.0343,1.0343,130.0,K1
vldeth,2019-03-11,2.0E-5,2.0E-5,2.0E-5,2.0E-5,500000.0,K1
btceur,2019-03-11,3508.0,3508.0,3508.0,3508.0,0.2,H0
enjusd,2019-03-11,0.16289,0.16289,0.16289,0.16289,596.89780867,H0
xvgbtc,2019-03-11,1.63E-6,1.63E-6,1.63E-6,1.63E-6,50000.0,K1
rcnbtc,2019-03-11,5.51E-6,5.51E-6,5.51E-6,5.51E-6,1500.0,H0
etheur,2019-03-11,120.3,120.3,120.3,120.3,1.60746883,H0
paiusd,2019-03-11,0.061064,0.061064,0.061064,0.061064,358.0,H0
utnusd,2019-03-11,0.0040000999999999995,0.0031361,0.0040000999999999995,0.0031361,200000.0,H0
xrpbtc,2019-03-11,8.013E-5,8.006E-5,8.013E-5,8.006E-5,377.0,V2
xvgeur,2019-03-11,0.0056974,0.0056974,0.0056974,0.0056974,10000.0,V2
iqxeos,2019-03-11,8.5449E-4,8.5449E-4,8.5449E-4,8.5449E-4,10000.0,H0
qsheth,2019-03-11,0.0010000999999999999,0.001,0.0010000999999999999,0.001,73.57194480999998,H0
rbtbtc,2019-03-11,1.0019,1.0019,1.0019,1.0019,0.0188,V2
rrtusd,2019-03-11,0.04055,0.04055,0.04055,0.04055,381.42,H0
sntbtc,2019-03-11,5.67E-6,5.67E-6,5.67E-6,5.67E-6,750.0,V2
ethjpy,2019-03-11,15056.0,15056.0,15056.0,15056.0,1.30381682,H0
paibtc,2019-03-11,1.536E-5,1.536E-5,1.536E-5,1.536E-5,358.0,H0
veebtc,2019-03-11,1.35E-6,1.35E-6,1.35E-6,1.35E-6,20000.0,H0
zcneth,2019-03-11,6.9998E-4,6.9998E-4,6.9998E-4,6.9998E-4,67.15,H0
batusd,2019-03-11,0.19896,0.19896,0.19896,0.19896,1223.2978664,K1
sanbtc,2019-03-11,1.1154E-4,1.1154E-4,1.1154E-4,1.1154E-4,54.0,H0
dadbtc,2019-03-11,8.56E-6,8.56E-6,8.56E-6,8.56E-6,400.0,H0
ethbtc,2019-03-11,0.034242,0.03425,0.03425,0.034242,6.99127547,H0
gntusd,2019-03-11,0.0716,0.0716,0.0716,0.0716,109.816,H0
repeth,2019-03-11,0.11042,0.10924,0.11042,0.10924,14.37702668,H0
waxbtc,2019-03-11,1.268E-5,1.268E-5,1.268E-5,1.268E-5,7776.04976672,H0
xlmgbp,2019-03-11,0.07750775,0.07750775,0.07750775,0.07750775,3876.18063182,H0
