filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-09-16,610.01,610.01,610.01,610.01,0.6556,H0
ethbtc,2016-09-16,0.020677,0.020677,0.020677,0.020677,34.31072366,K1
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-09-16,12.612,12.612,12.612,12.612,1.31,H0
ltcbtc,2016-09-16,0.006309,0.006309,0.006309,0.006309,3.175345,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-09-16,1.3251,1.3251,1.3251,1.3251,6.353741,H0
ltcusd,2016-09-16,3.83,3.83,3.83,3.83,40.73,H0
etcbtc,2016-09-16,0.0021811,0.0021811,0.0021811,0.0021811,2.48687,H0
