filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-02-11,1001.6,1000.1,1001.6,1000.1,29.0187577,H0
rrtusd,2017-02-11,0.1789,0.1789,0.1789,0.1789,0.1,H0
ethbtc,2017-02-11,0.011274,0.011269,0.011274,0.011269,133.48109569000002,H0
xmrusd,2017-02-11,12.25,12.25,12.25,12.25,12.975808,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2017-02-11,11.35,11.368,11.37,11.35,530.98499962,V2
zecusd,2017-02-11,32.7,32.7,32.7,32.7,0.410901,H0
rrtbtc,2017-02-11,1.6999999999999999E-4,1.6999999999999999E-4,1.6999999999999999E-4,1.6999999999999999E-4,19.98,H0
zecbtc,2017-02-11,0.032511,0.032511,0.032511,0.032511,0.551936,H0
ltcbtc,2017-02-11,0.0037799999999999995,0.0037799999999999995,0.0037799999999999995,0.0037799999999999995,15.8299,H0
filename,date,open,close,high,low,volume,PPO_RESULT
xmrbtc,2017-02-11,0.012193,0.012193,0.012193,0.012193,15.812197,V2
etcusd,2017-02-11,1.2292,1.2279,1.2292,1.2279,72.6637,H0
ltcusd,2017-02-11,3.8151,3.8153,3.8153,3.8151,51.421578000000004,H0
etcbtc,2017-02-11,0.0012247999999999998,0.0012251,0.0012251,0.0012247999999999998,14.1208,H0
