filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-12-29,976.0,974.74,976.0,972.0,204.86159878,H0
rrtusd,2016-12-29,0.067652,0.067652,0.067652,0.067652,0.5969300000000001,K1
ethbtc,2016-12-29,0.00852,0.00852,0.00852,0.00852,10.0,K1
xmrusd,2016-12-29,13.1,13.1,13.1,13.1,45.096000000000004,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-12-29,8.2711,8.2711,8.2711,8.2711,100.0,K1
zecusd,2016-12-29,50.397,50.397,50.397,50.397,0.01010917,H0
zecbtc,2016-12-29,0.0524,0.0524,0.0524,0.0524,0.09,H0
ltcbtc,2016-12-29,0.00468,0.0046700000000000005,0.00468,0.0046700000000000005,39.81922899999999,H0
filename,date,open,close,high,low,volume,PPO_RESULT
xmrbtc,2016-12-29,0.013491999999999999,0.013491999999999999,0.013491999999999999,0.013491999999999999,0.14536256,K1
etcusd,2016-12-29,1.4201,1.4202,1.4202,1.4201,1569.4433,H0
ltcusd,2016-12-29,4.5701,4.59,4.59,4.5701,185.12599999999998,V2
etcbtc,2016-12-29,0.0013287000000000002,0.0013182,0.0013287000000000002,0.0013182,43.873228399999995,H0
