filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-01-08,916.0,915.9,916.5,915.9,2.6423,H0
rrtusd,2017-01-08,0.05513099999999999,0.05513099999999999,0.05513099999999999,0.05513099999999999,456.1660173,H0
ethbtc,2017-01-08,0.011314,0.011314,0.011314,0.011314,0.89653708,H0
xmrusd,2017-01-08,13.552999999999999,13.552999999999999,13.552999999999999,13.552999999999999,3.86582107,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2017-01-08,10.29,10.29,10.29,10.29,30.0,H0
zecusd,2017-01-08,46.2,46.2,46.2,46.2,0.00114036,K1
zecbtc,2017-01-08,0.050207,0.050207,0.050207,0.050207,0.01646473,H0
ltcbtc,2017-01-08,0.00439,0.00439,0.00439,0.00439,22.66030139,V2
filename,date,open,close,high,low,volume,PPO_RESULT
xmrbtc,2017-01-08,0.014777,0.014777,0.014777,0.014777,27.414,H0
etcusd,2017-01-08,1.4592,1.4601,1.4601,1.4574,63.35,H0
ltcusd,2017-01-08,4.011,4.02,4.02,4.011,6.683812789999998,H0
etcbtc,2017-01-08,0.0015873,0.0015878,0.0015878,0.0015873,43.39679359,H0
