filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-10-15,639.6,640.2,640.2,639.6,0.46345155,H0
rrtusd,2016-10-15,0.1216,0.1216,0.1216,0.1216,200.0,H0
ethbtc,2016-10-15,0.018734999999999998,0.018734999999999998,0.018734999999999998,0.018734999999999998,0.5,V2
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-10-15,12.01,12.01,12.01,12.01,1.736,V2
rrtbtc,2016-10-15,1.9998E-4,1.9998E-4,1.9998E-4,1.9998E-4,120.0,H0
ltcbtc,2016-10-15,0.006065,0.006065,0.006065,0.006065,0.1,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-10-15,0.9942,0.9942,0.9942,0.9942,1.684982,H0
ltcusd,2016-10-15,3.892,3.892,3.892,3.892,0.25954119,H0
etcbtc,2016-10-15,0.0015550000000000002,0.0015550000000000002,0.0015550000000000002,0.0015550000000000002,0.51173125,H0
