filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-11-04,707.73,707.62,707.73,707.62,0.029837,H0
rrtusd,2016-11-04,0.06599,0.06599,0.06599,0.06599,116.97105401,H0
ethbtc,2016-11-04,0.015888,0.015888,0.015888,0.015888,201.826648,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-11-04,11.184000000000001,11.184000000000001,11.184000000000001,11.184000000000001,35.98117432,H0
zecusd,2016-11-04,620.0,620.0,620.0,620.0,0.01030266,H0
rrtbtc,2016-11-04,9.429999999999999E-5,9.441E-5,9.441E-5,9.429999999999999E-5,1399.4295119,H0
zecbtc,2016-11-04,0.8701,0.8701,0.8701,0.8701,0.03,H0
ltcbtc,2016-11-04,0.005517,0.005517,0.005517,0.005517,3.907061,K1
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-11-04,0.9826299999999999,0.9826299999999999,0.9826299999999999,0.9826299999999999,409.11672000000004,V2
ltcusd,2016-11-04,3.8979,3.8979,3.8979,3.8979,58.488525,H0
etcbtc,2016-11-04,0.0013809,0.0013809,0.0013809,0.0013809,331.16223199999996,V2
