filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-11-26,731.19,731.19,731.19,731.19,0.13937606,V2
rrtusd,2016-11-26,0.05587999999999999,0.05587999999999999,0.05587999999999999,0.05587999999999999,1002.00400802,H0
ethbtc,2016-11-26,0.01266,0.012659,0.01266,0.012659,108.66585175,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-11-26,9.327,9.3325,9.3325,9.327,3.9,H0
zecusd,2016-11-26,77.852,77.862,77.862,77.852,2.24439953,K1
rrtbtc,2016-11-26,7.615E-5,7.615E-5,7.615E-5,7.615E-5,1000.0,H0
zecbtc,2016-11-26,0.10589000000000001,0.10589000000000001,0.10589000000000001,0.10589000000000001,1.06509852,H0
ltcbtc,2016-11-26,0.0052809,0.0052809,0.0052809,0.0052809,60.3064,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-11-26,0.7823,0.7823,0.7823,0.7823,0.1197,K1
ltcusd,2016-11-26,3.8311,3.83,3.8311,3.83,100.0,H0
etcbtc,2016-11-26,0.0010649000000000001,0.0010649000000000001,0.0010649000000000001,0.0010649000000000001,2.54710912,K1
