filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-08-11,591.33,591.27,591.33,591.27,5.96389121,H0
ethbtc,2016-08-11,0.01983,0.01983,0.01983,0.01983,4.9924,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-08-11,11.71,11.71,11.71,11.71,65.6296,H0
ltcbtc,2016-08-11,0.006338,0.006338,0.006338,0.006338,13.64,K1
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-08-11,1.848,1.848,1.848,1.848,691.8927108099998,H0
ltcusd,2016-08-11,3.7460000000000004,3.7460000000000004,3.7460000000000004,3.7460000000000004,8.60828457,H0
etcbtc,2016-08-11,0.0031371,0.0031371,0.0031371,0.0031371,690.98632556,H0
