filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-01-01,997.8,998.99,998.99,997.39,15.0261,K1
rrtusd,2017-01-01,0.06694,0.06694,0.06694,0.06694,5.48452199,H0
ethbtc,2017-01-01,0.008219200000000001,0.008219200000000001,0.008219200000000001,0.008219200000000001,1.21648084,V2
xmrusd,2017-01-01,13.882,13.882,13.882,13.882,2.0,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2017-01-01,8.196,8.196,8.196,8.196,0.2,V2
zecusd,2017-01-01,48.06399999999999,48.06399999999999,48.06399999999999,48.06399999999999,0.06250942,V2
rrtbtc,2017-01-01,5.7499999999999995E-5,5.6999999999999996E-5,5.7499999999999995E-5,5.6999999999999996E-5,20000.0,K1
zecbtc,2017-01-01,0.048151,0.048151,0.048151,0.048151,0.10015001,V2
ltcbtc,2017-01-01,0.00448,0.00448,0.00448,0.00448,0.43978999999999996,H0
filename,date,open,close,high,low,volume,PPO_RESULT
xmrbtc,2017-01-01,0.014066,0.014066,0.014066,0.014066,0.489,V2
etcusd,2017-01-01,1.3965,1.3978,1.3978,1.3965,489.91772404,H0
ltcusd,2017-01-01,4.4976,4.4997,4.4997,4.4976,197.48372808,V2
etcbtc,2017-01-01,0.0013947,0.0013967,0.0013967,0.0013947,1000.0,H0
