filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-02-14,1013.2,1013.3,1013.7,1013.2,3.969,H0
rrtusd,2017-02-14,0.16423,0.16423,0.16423,0.16423,0.37019229,H0
ethbtc,2017-02-14,0.0129,0.0129,0.0129,0.0129,11.375,H0
xmrusd,2017-02-14,13.084000000000001,13.085,13.085,13.084000000000001,62.945464,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2017-02-14,13.082,13.073,13.083,13.015999999999998,461.05054894,H0
zecusd,2017-02-14,32.88,32.88,32.88,32.88,1.0,K1
rrtbtc,2017-02-14,1.6E-4,1.6E-4,1.6E-4,1.6E-4,0.3464375,H0
zecbtc,2017-02-14,0.032062,0.032062,0.032062,0.032062,0.91400451,H0
ltcbtc,2017-02-14,0.0037711,0.0037711,0.0037711,0.0037711,100.0,H0
filename,date,open,close,high,low,volume,PPO_RESULT
xmrbtc,2017-02-14,0.01294,0.01294,0.01294,0.01294,11.75,H0
etcusd,2017-02-14,1.2491,1.2493,1.2493,1.2491,617.88,V2
ltcusd,2017-02-14,3.83,3.83,3.83,3.83,57.0,H0
etcbtc,2017-02-14,0.0012284000000000002,0.0012284000000000002,0.0012284000000000002,0.0012284000000000002,2.41384132,V2
