filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2018-07-30,8171.3,8179.5,8179.6,8171.3,0.21131658,H0
dtabtc,2018-07-30,6.2E-7,6.2E-7,6.2E-7,6.2E-7,50375.63089121,H0
neojpy,2018-07-30,3556.5,3556.5,3556.5,3556.5,12.79834735,H0
yywusd,2018-07-30,0.04707,0.04707,0.04707,0.04707,4000.0,H0
tnbusd,2018-07-30,0.019913,0.019913,0.019913,0.019913,635.39038058,H0
btceur,2018-07-30,6990.21773497,6999.1,6999.1,6990.21773497,0.11126108,H0
wprusd,2018-07-30,0.039085,0.037953,0.039085,0.037953,5045.888,H0
xvgbtc,2018-07-30,2.97E-6,2.97E-6,2.97E-6,2.97E-6,230.7894063,H0
rcnbtc,2018-07-30,5.78E-6,5.78E-6,5.78E-6,5.78E-6,1196.013927,H0
seeeth,2018-07-30,9.58E-6,9.58E-6,9.58E-6,9.58E-6,29964.0,H0
veeusd,2018-07-30,0.022000000000000002,0.018506,0.022219,0.018506,39968.0,H0
etheur,2018-07-30,391.3479954,391.3479954,391.3479954,391.3479954,0.14,H0
paiusd,2018-07-30,1.013,1.013,1.013,1.013,1000.0,H0
xrpbtc,2018-07-30,5.457E-5,5.465E-5,5.465E-5,5.457E-5,7796.6578,H0
ctxeth,2018-07-30,0.0011260999999999999,0.0011260999999999999,0.0011260999999999999,0.0011260999999999999,50.0,H0
xvgeur,2018-07-30,0.019424,0.019424,0.019424,0.019424,4537.30200379,K1
dthbtc,2018-07-30,4.114E-6,4.114E-6,4.114E-6,4.114E-6,8952.0,K1
iqxeos,2018-07-30,0.00285,0.00285,0.00285,0.00285,18515.0,H0
qsheth,2018-07-30,5.3915E-4,5.3999E-4,5.3999E-4,5.3915E-4,750.7507507500002,K1
rrtusd,2018-07-30,0.0529,0.0529,0.0529,0.0529,400.0,H0
sntbtc,2018-07-30,8.0E-6,8.0E-6,8.0E-6,8.0E-6,14617.6,H0
ethjpy,2018-07-30,50806.15256168,50806.15256168,50806.15256168,50806.15256168,0.1,V2
rlcusd,2018-07-30,0.63546,0.63546,0.63546,0.63546,29.687612400000003,K1
cbtbtc,2018-07-30,3.181E-6,3.181E-6,3.181E-6,3.181E-6,2426.0,H0
paibtc,2018-07-30,1.2450000000000002E-4,1.2499E-4,1.2499E-4,1.2450000000000002E-4,3000.0,H0
veebtc,2018-07-30,2.43E-6,2.43E-6,2.43E-6,2.43E-6,1523.79709716,H0
ncausd,2018-07-30,0.011464,0.011464,0.011464,0.011464,2500.03257592,H0
zcneth,2018-07-30,7.4E-4,7.4E-4,7.4E-4,7.4E-4,762.82530378,H0
batusd,2018-07-30,0.30456,0.30456,0.30456,0.30456,524.0,H0
atmbtc,2018-07-30,3.54E-6,3.54E-6,3.54E-6,3.54E-6,6136.42128432,H0
sanbtc,2018-07-30,1.233E-4,1.233E-4,1.233E-4,1.233E-4,49.47944352,H0
dadbtc,2018-07-30,1.11E-5,1.11E-5,1.11E-5,1.11E-5,565.2,H0
gntusd,2018-07-30,0.29234,0.29234,0.29234,0.29234,320.39024889999996,H0
repeth,2018-07-30,0.069396,0.069397,0.069397,0.069396,0.77151337,H0
waxbtc,2018-07-30,1.685E-5,1.692E-5,1.692E-5,1.685E-5,8486.280021730001,H0
xlmgbp,2018-07-30,0.22418703,0.22418703,0.22418703,0.22418703,278.39643653,H0
