filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2019-02-14,3656.7,3656.7,3656.7,3656.7,0.01,H0
neojpy,2019-02-14,887.83999996,887.83999996,887.83999996,887.83999996,26.23629693,H0
yywusd,2019-02-14,0.014691,0.014691,0.014691,0.014691,11314.6925538,H0
pasusd,2019-02-14,0.00446,0.00446,0.00446,0.00446,4484.29487826,K1
tnbusd,2019-02-14,0.0030799,0.0030799,0.0030799,0.0030799,3788.0,V2
udcusd,2019-02-14,1.0245,1.0245,1.0245,1.0245,26.9514,V2
mitusd,2019-02-14,0.04081,0.04081,0.04081,0.04081,1844.84907906,H0
btceur,2019-02-14,3238.3,3238.3,3238.3,3238.3,3.5,H0
enjusd,2019-02-14,0.0261,0.0261,0.0261,0.0261,1182.9168,K1
wprusd,2019-02-14,0.011899,0.0119,0.0119,0.011899,6269.99090909,K1
xvgbtc,2019-02-14,1.62E-6,1.62E-6,1.62E-6,1.62E-6,5465.6918,K1
rcnbtc,2019-02-14,2.81E-6,2.81E-6,2.81E-6,2.81E-6,1450.0,H0
veeusd,2019-02-14,0.00589,0.00594,0.00594,0.00589,5000.0,H0
etheur,2019-02-14,108.58,108.49412789,108.58,108.49412789,36.264,H0
mlneth,2019-02-14,0.087,0.087,0.087,0.087,2.83,H0
paiusd,2019-02-14,0.026862,0.026862,0.026862,0.026862,3336.4759,V2
xrpbtc,2019-02-14,8.378E-5,8.383E-5,8.383E-5,8.378E-5,10042.0,H0
ctxeth,2019-02-14,9.0995E-4,9.0995E-4,9.0995E-4,9.0995E-4,121.39737367,H0
xvgeur,2019-02-14,0.00533466,0.00533466,0.00533466,0.00533466,0.72306003,H0
iqxeos,2019-02-14,0.0010203,0.0010203,0.0010203,0.0010203,20577.47917777,V2
qsheth,2019-02-14,5.6269E-4,5.6269E-4,5.6269E-4,5.6269E-4,228.69320585,H0
rbtbtc,2019-02-14,1.0,1.0,1.0,1.0,0.01665109,V2
rrtusd,2019-02-14,0.035,0.035,0.035,0.035,294.0,K1
sntbtc,2019-02-14,5.24E-6,5.24E-6,5.24E-6,5.24E-6,3859.29586836,H0
ethjpy,2019-02-14,13548.0,13548.94896243,13548.94896243,13548.0,2.86581665,H0
rlcusd,2019-02-14,0.21100000000000002,0.21065,0.21100000000000002,0.21065,651.00484734,H0
paibtc,2019-02-14,7.52E-6,7.52E-6,7.52E-6,7.52E-6,2327.67699676,V2
veebtc,2019-02-14,1.46E-6,1.46E-6,1.46E-6,1.46E-6,7921.7451,H0
batusd,2019-02-14,0.12650999999999998,0.12650999999999998,0.12650999999999998,0.12650999999999998,5782.4739431,H0
sanbtc,2019-02-14,1.2928E-4,1.2981E-4,1.2981E-4,1.2928E-4,219.3136767,H0
dadbtc,2019-02-14,8.599999999999999E-6,8.599999999999999E-6,8.599999999999999E-6,8.599999999999999E-6,513.6,H0
ethbtc,2019-02-14,0.033527999999999995,0.033520999999999995,0.033533999999999994,0.033520999999999995,41.70222345,V2
