filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-10-03,612.57,612.67,612.67,612.57,0.20754852,H0
ethbtc,2016-10-03,0.021985,0.021986000000000002,0.021986000000000002,0.021985,7.7495905,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-10-03,13.440999999999999,13.387,13.45,13.387,378.78509575,H0
ltcbtc,2016-10-03,0.0062450000000000006,0.0062450000000000006,0.0062450000000000006,0.0062450000000000006,2.51,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-10-03,1.1973,1.2,1.2,1.1963,410.30075,H0
ltcusd,2016-10-03,3.855,3.8555,3.8555,3.8165,3.587228,H0
etcbtc,2016-10-03,0.00195,0.00195,0.00195,0.00195,4.853133000000001,H0
