filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-09-29,604.6,604.6,604.6,604.6,1.53160157,H0
ethbtc,2016-09-29,0.02155,0.02167,0.02167,0.02155,0.9,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-09-29,13.061,13.061,13.061,13.061,70.96959199999998,V2
ltcbtc,2016-09-29,0.006374899999999999,0.006379600000000001,0.006379600000000001,0.0063708,203.53799949,V2
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-09-29,1.27,1.27,1.27,1.27,2000.0,H0
ltcusd,2016-09-29,3.8529,3.8529,3.8529,3.8529,1.0,H0
etcbtc,2016-09-29,0.0020999,0.0021,0.0021,0.0020999,95.0277122,V2
