filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-04-09,1216.1,1215.9,1216.1,1215.9,10.71765858,V2
rrtusd,2017-04-09,0.0929,0.092,0.09291,0.092,3500.0,K1
ethbtc,2017-04-09,0.036094,0.036094,0.036094,0.036094,6.7889919999999995,H0
dshbtc,2017-04-09,0.054443,0.054443,0.054443,0.054443,9.93,H0
xmrusd,2017-04-09,21.061,21.061,21.061,21.061,0.1005,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2017-04-09,43.938,43.937,43.938,43.937,4.69069197,H0
zecusd,2017-04-09,64.0,64.0,64.0,64.0,0.35,H0
rrtbtc,2017-04-09,7.581E-5,7.581E-5,7.581E-5,7.581E-5,200.0,K1
zecbtc,2017-04-09,0.05223200000000001,0.052224,0.052246,0.052224,7.2943,H0
ltcbtc,2017-04-09,0.0076586,0.007651300000000001,0.0076586,0.007651300000000001,30.51264033,K1
filename,date,open,close,high,low,volume,PPO_RESULT
dshusd,2017-04-09,66.381,66.381,66.381,66.381,4.920837000000001,H0
xmrbtc,2017-04-09,0.017366,0.017366,0.017366,0.017366,2.0573718,H0
etcusd,2017-04-09,2.67,2.67,2.67,2.67,96.54146999999999,V2
ltcusd,2017-04-09,9.3615,9.35,9.3635,9.35,52.0,V2
etcbtc,2017-04-09,0.0021901,0.0021902,0.0021902,0.0021901,100.0,H0
