filename,date,open,close,high,low,volume,PPO_RESULT
sngeth,2019-10-18,9.539E-5,9.913E-5,9.913E-5,9.52E-5,8872.0,V2
vldeth,2019-10-18,1.0E-5,1.0E-5,1.0E-5,1.0E-5,2570.72292689,V2
mitusd,2019-10-18,0.012293,0.011773,0.012294,0.011773,5623.99414777,K1
essbtc,2019-10-18,1.2E-7,1.2E-7,1.2E-7,1.2E-7,5200.0,H0
ethbtc,2019-10-18,0.021947,0.021765,0.022046,0.02145,8850.39620899,H0
onlusd,2019-10-18,0.0055384,0.0055384,0.0055384,0.0055384,1574.57297899,H0
funusd,2019-10-18,0.00362,0.00351,0.00362,0.00351,363612.87761291,K1
foaeth,2019-10-18,2.05E-4,2.031E-4,2.05E-4,2.031E-4,575.6,H0
uskusd,2019-10-18,0.89,0.91628,0.91628,0.89,12.0,H0
stjeth,2019-10-18,7.199E-4,7.199E-4,7.199E-4,7.199E-4,23.4,K1
dtaeth,2019-10-18,1.902E-6,1.878E-6,1.908E-6,1.878E-6,191400.0,H0
gtxusd,2019-10-18,3.459,4.365,4.365,1.673,8.2,H0
uosbtc,2019-10-18,3.46E-6,3.45E-6,3.59E-6,3.4E-6,2190733.47315834,H0
neobtc,2019-10-18,8.9929E-4,8.9389E-4,9.0099E-4,8.8751E-4,5722.31936286,K1
leoust,2019-10-18,1.0149,1.0047,1.0178,0.9969,45374.40082365,H0
trxbtc,2019-10-18,1.89E-6,1.93E-6,1.94E-6,1.87E-6,2097223.76177633,H0
fttusd,2019-10-18,1.344,1.3193,1.344,1.3145,7610.8984097,K1
vldusd,2019-10-18,0.0017439,0.0017439,0.0017439,0.0017439,2557.92,H0
mgousd,2019-10-18,0.013902,0.013671,0.014222,0.0125,81146.96801912,K1
