filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2018-08-10,6143.9,6146.7,6147.1,6143.0,7.06116886,H0
dtabtc,2018-08-10,7.8E-7,7.8E-7,7.8E-7,7.8E-7,4626.11111111,H0
neojpy,2018-08-10,2193.99982482,2193.99982482,2193.99982482,2193.99982482,3.0,V2
sngeth,2018-08-10,6.703E-5,6.691E-5,6.703E-5,6.691E-5,32779.84666383,H0
yywusd,2018-08-10,0.029983,0.029983,0.029983,0.029983,382.92764255,V2
tnbusd,2018-08-10,0.014806,0.014804,0.014806,0.014804,1358.53811883,H0
mitusd,2018-08-10,0.365,0.365,0.365,0.365,74.0,V2
btceur,2018-08-10,5380.87052247,5380.95806897,5380.95806897,5380.87052247,2.0,H0
wprusd,2018-08-10,0.025055,0.02505,0.025055,0.02505,2327.40835127,H0
xvgbtc,2018-08-10,2.25E-6,2.25E-6,2.25E-6,2.25E-6,71182.66138578,K1
rcnbtc,2018-08-10,4.09E-6,4.09E-6,4.09E-6,4.09E-6,4459.871,H0
seeeth,2018-08-10,6.59E-6,6.59E-6,6.59E-6,6.59E-6,3262.0,K1
veeusd,2018-08-10,0.010314,0.010314,0.010314,0.010314,21133.98203786,H0
etheur,2018-08-10,290.7,290.7,290.7,290.7,0.83133633,V2
paiusd,2018-08-10,0.41468,0.41468,0.41468,0.41468,20.0,H0
xrpbtc,2018-08-10,5.184E-5,5.186E-5,5.186E-5,5.184E-5,63.315,H0
xvgeur,2018-08-10,0.01269491,0.01269491,0.01269491,0.01269491,0.00375738,H0
dthbtc,2018-08-10,5.04E-6,5.05E-6,5.05E-6,5.04E-6,608.0,K1
iqxeos,2018-08-10,0.0032604999999999995,0.0032604999999999995,0.0032604999999999995,0.0032604999999999995,1853.51840895,H0
qsheth,2018-08-10,4.7148E-4,4.7798E-4,4.7871E-4,4.55E-4,8914.107236759999,H0
rrtusd,2018-08-10,0.04655,0.04655,0.04655,0.04655,3080.59260536,H0
sntbtc,2018-08-10,7.000000000000001E-6,7.000000000000001E-6,7.000000000000001E-6,7.000000000000001E-6,309.56,H0
ethjpy,2018-08-10,36721.01006967,36721.01006967,36721.01006967,36721.01006967,2.0,V2
rlcusd,2018-08-10,0.3479,0.3479,0.3479,0.3479,359.9738232900001,K1
cbtbtc,2018-08-10,2.89E-6,2.8999999999999998E-6,2.8999999999999998E-6,2.89E-6,564.60344827,H0
essbtc,2018-08-10,1.66E-6,1.66E-6,1.66E-6,1.66E-6,5000.0,H0
paibtc,2018-08-10,6.718E-5,6.718E-5,6.718E-5,6.718E-5,20.0,H0
veebtc,2018-08-10,1.72E-6,1.72E-6,1.72E-6,1.72E-6,18576.0,H0
ncausd,2018-08-10,0.0061,0.0061,0.0061,0.0061,1352.0,H0
zcneth,2018-08-10,5.099999999999999E-4,5.099999999999999E-4,5.099999999999999E-4,5.099999999999999E-4,2335.1074,H0
batusd,2018-08-10,0.22074000000000002,0.22074000000000002,0.22074000000000002,0.22074000000000002,452.0,V2
atmbtc,2018-08-10,2.56E-6,2.55E-6,2.56E-6,2.55E-6,15996.0,H0
sanbtc,2018-08-10,1.0E-4,1.0E-4,1.0E-4,1.0E-4,653.00000001,H0
dadbtc,2018-08-10,1.444E-5,1.444E-5,1.445E-5,1.444E-5,704.5,H0
ethbtc,2018-08-10,0.053978,0.05399400000000001,0.053995,0.053978,0.84392008,H0
gntusd,2018-08-10,0.16823,0.16688,0.16823,0.16688,7970.0,V2
repeth,2018-08-10,0.069531,0.069531,0.069531,0.069531,1.24273,H0
waxbtc,2018-08-10,1.425E-5,1.425E-5,1.425E-5,1.425E-5,1792.0,H0
xlmgbp,2018-08-10,0.17572000000000002,0.17572000000000002,0.17572000000000002,0.17572000000000002,0.90276092,H0
lrcbtc,2018-08-10,2.038E-5,2.038E-5,2.038E-5,2.038E-5,320.0,H0
orseth,2018-08-10,1.2855E-4,1.2855E-4,1.2855E-4,1.2855E-4,318.81850804,H0
fsnusd,2018-08-10,1.2692,1.2692,1.2692,1.2692,8.0,H0
funusd,2018-08-10,0.017634999999999998,0.017505,0.017634999999999998,0.017505,4990.0,V2
qshbtc,2018-08-10,2.577E-5,2.627E-5,2.627E-5,2.577E-5,1302.0,H0
antusd,2018-08-10,1.3249,1.3230000000000002,1.3249,1.3230000000000002,66.93306828,H0
avteth,2018-08-10,0.0018248000000000001,0.001835,0.001835,0.0018248000000000001,199.1488195,V2
edoeth,2018-08-10,0.0018797999999999998,0.0018798999999999999,0.0018798999999999999,0.0018797999999999998,16.39440395,H0
elfbtc,2018-08-10,7.382E-5,7.382E-5,7.382E-5,7.382E-5,40.0,H0
hotbtc,2018-08-10,2.75E-6,2.75E-6,2.75E-6,2.75E-6,570.0,H0
odeeth,2018-08-10,0.0011,0.0011,0.0011,0.0011,40.85807088,H0
aucbtc,2018-08-10,1.187E-5,1.185E-5,1.187E-5,1.185E-5,138.40421940000002,K1
zrxbtc,2018-08-10,1.4012E-4,1.4012E-4,1.4012E-4,1.4012E-4,419.01,H0
bnteth,2018-08-10,0.005351,0.005351,0.005351,0.005351,18.19062044,H0
bntusd,2018-08-10,1.6737,1.6737,1.6737,1.6737,18.1542392,H0
rcnusd,2018-08-10,0.0267,0.0252,0.0267,0.0252,28517.12721405,V2
seneth,2018-08-10,2.909E-5,2.909E-5,2.909E-5,2.909E-5,47112.0,H0
aidusd,2018-08-10,0.07511,0.07511,0.07511,0.07511,3847.65131658,V2
iqxusd,2018-08-10,0.017112,0.017112,0.017112,0.017112,3045.86,H0
qtmeth,2018-08-10,0.015030000000000002,0.015030000000000002,0.015030000000000002,0.015030000000000002,29.69863815,V2
iotbtc,2018-08-10,9.317E-5,9.317E-5,9.317E-5,9.317E-5,52.28368745,H0
utkbtc,2018-08-10,6.57E-6,6.57E-6,6.57E-6,6.57E-6,708.33073266,H0
xvgjpy,2018-08-10,1.67925429,1.67925429,1.67925429,1.67925429,2.42666512,H0
datusd,2018-08-10,0.035901999999999996,0.035901999999999996,0.035901999999999996,0.035901999999999996,455.41690624,H0
bcibtc,2018-08-10,2.1002E-4,2.64E-4,2.64E-4,2.1002E-4,18.18010387,H0
bftusd,2018-08-10,0.050286000000000004,0.050286000000000004,0.050286000000000004,0.050286000000000004,1321.36479893,H0
dateth,2018-08-10,1.0751E-4,1.0751E-4,1.0751E-4,1.0751E-4,4333.89440367,H0
dshbtc,2018-08-10,0.027351,0.02725,0.027351,0.02725,33.05855322,H0
etpeth,2018-08-10,0.0073717,0.0073617000000000005,0.0073717,0.0073617000000000005,17.034000000000002,H0
xrpusd,2018-08-10,0.31842,0.31840999999999997,0.31842,0.31840999999999997,1342.38,V2
poausd,2018-08-10,0.11001,0.11001,0.11001,0.11001,158.22248949,V2
elfeth,2018-08-10,0.001367,0.001367,0.001367,0.001367,2578.87023757,V2
mtnusd,2018-08-10,0.028002,0.028002,0.028002,0.028002,485.7529,H0
btcjpy,2018-08-10,681480.0,681480.0,681480.0,681480.0,0.15,H0
saneth,2018-08-10,0.0018624000000000002,0.0018624000000000002,0.0018624000000000002,0.0018624000000000002,933.29194087,H0
xvgusd,2018-08-10,0.013999000000000001,0.013999000000000001,0.013999000000000001,0.013999000000000001,40000.0,V2
stjeth,2018-08-10,0.0011817,0.0011856,0.0011879000000000002,0.0011817,687.5226916500002,K1
lrcusd,2018-08-10,0.13439,0.13439,0.13439,0.13439,111.61076681,K1
sanusd,2018-08-10,0.63247,0.6345,0.6345,0.63247,500.0,V2
aidbtc,2018-08-10,1.554E-5,1.625E-5,1.625E-5,1.554E-5,6642.701857800002,K1
dtaeth,2018-08-10,7.2999999999999996E-6,7.2999999999999996E-6,7.2999999999999996E-6,7.2999999999999996E-6,8968.5225,H0
spkusd,2018-08-10,0.05501,0.05501,0.05501,0.05501,3788.324,V2
rdneth,2018-08-10,0.0013170999999999999,0.0013170999999999999,0.0013170999999999999,0.0013170999999999999,18.35701,H0
cndbtc,2018-08-10,2.85E-6,2.85E-6,2.85E-6,2.85E-6,498.0,V2
omgeth,2018-08-10,0.01314,0.01314,0.01314,0.01314,0.00503246,V2
sntusd,2018-08-10,0.042911000000000005,0.042911000000000005,0.042911000000000005,0.042911000000000005,2018.4,V2
aioeth,2018-08-10,0.0013167,0.0013050000000000002,0.0013167,0.0013050000000000002,80.0,H0
anteth,2018-08-10,0.0036251999999999994,0.0036251999999999994,0.0036251999999999994,0.0036251999999999994,13.70259492,H0
agiusd,2018-08-10,0.057,0.057,0.057,0.057,345.94995437,V2
avtbtc,2018-08-10,8.523E-5,8.603E-5,8.603E-5,8.523E-5,320.04048794,H0
waxusd,2018-08-10,0.08615,0.08615,0.08615,0.08615,1500.0,V2
cndusd,2018-08-10,0.019173,0.019262,0.019262,0.019173,2010.51026068,H0
sngbtc,2018-08-10,3.68E-6,3.68E-6,3.68E-6,3.68E-6,639.93379023,K1
xmrusd,2018-08-10,91.40700000000001,91.541,91.689,91.40700000000001,102.79314607,V2
filename,date,open,close,high,low,volume,PPO_RESULT
daieth,2018-08-10,0.0030064000000000002,0.0030064000000000002,0.0030064000000000002,0.0030064000000000002,48.49077665,H0
ioseth,2018-08-10,4.869E-5,4.869E-5,4.869E-5,4.869E-5,3909.85235949,H0
cbteth,2018-08-10,5.295E-5,5.351E-5,5.351E-5,5.293E-5,2250.94834167,V2
iosbtc,2018-08-10,2.65E-6,2.65E-6,2.65E-6,2.65E-6,5571.5559327,H0
esseth,2018-08-10,3.041E-5,3.041E-5,3.041E-5,3.041E-5,800.0,H0
stjusd,2018-08-10,0.41617,0.41617,0.41617,0.41617,24.0,H0
xrausd,2018-08-10,0.0837,0.0837,0.0837,0.0837,1300.0,H0
iqxbtc,2018-08-10,2.83E-6,2.83E-6,2.83E-6,2.83E-6,732.308,H0
odebtc,2018-08-10,5.9E-5,5.9E-5,5.9E-5,5.9E-5,3500.0,K1
neobtc,2018-08-10,0.0032164000000000003,0.0032164000000000003,0.0032164000000000003,0.0032164000000000003,7.51,H0
utketh,2018-08-10,1.2654E-4,1.3011E-4,1.351E-4,1.2654E-4,4779.90386564,V2
ethusd,2018-08-10,331.78,331.65,331.85,331.62,1.4356937,V2
hotusd,2018-08-10,0.0168,0.0168,0.0168,0.0168,570.0,V2
aideth,2018-08-10,2.3066E-4,2.3071E-4,2.3071E-4,2.3066E-4,1579.9515974,K1
aiousd,2018-08-10,0.46348999999999996,0.4635,0.4635,0.46348999999999996,20.13683714,V2
eoseth,2018-08-10,0.0158,0.0158,0.0158,0.0158,25000.0,H0
aucusd,2018-08-10,0.07682,0.07682,0.07682,0.07682,149.97659011,V2
bftbtc,2018-08-10,8.63E-6,8.63E-6,8.63E-6,8.63E-6,1734.1,K1
ioteur,2018-08-10,0.50234,0.50234,0.50234,0.50234,1400.0,V2
veeeth,2018-08-10,3.274E-5,3.274E-5,3.274E-5,3.274E-5,774.0,H0
