filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-10-05,614.09,614.09,614.09,614.09,0.0149,H0
ethbtc,2016-10-05,0.021255,0.021255,0.021255,0.021255,19.57065214,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-10-05,13.022,13.022,13.022,13.022,10.3057,H0
ltcbtc,2016-10-05,0.00625,0.00625,0.00625,0.00625,64.00204229,V2
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-10-05,1.1881,1.1881,1.1881,1.1881,10.39321,H0
ltcusd,2016-10-05,3.83,3.83,3.83,3.83,0.11349400000000001,H0
etcbtc,2016-10-05,0.0019489000000000002,0.0019489999999999998,0.0019489999999999998,0.0019489000000000002,725.9850285900002,H0
