filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-07-29,658.53,658.34,658.6,658.33,5.61792386,V2
ethbtc,2016-07-29,0.019475,0.019486,0.019488,0.019455,27.912663350000006,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-07-29,12.86,12.86,12.86,12.85,21.89797131,H0
ltcbtc,2016-07-29,0.0062,0.0062,0.006203,0.0062,56.07428064,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-07-29,1.6395,1.643,1.643,1.6375,1213.51147493,H0
ltcusd,2016-07-29,4.0768,4.0767,4.0768,4.0767,104.5,V2
etcbtc,2016-07-29,0.0024994,0.0025,0.0025,0.0024994,3208.2333628300007,H0
