filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2017-04-16,1212.1,1212.0,1212.1,1212.0,8.31277427,H0
rrtusd,2017-04-16,0.09515,0.09515,0.09515,0.09515,1764.0,H0
ethbtc,2017-04-16,0.040879,0.040879,0.040879,0.040879,20.57613169,V2
dshbtc,2017-04-16,0.06347,0.06347,0.06347,0.06347,0.2,H0
xmrusd,2017-04-16,20.916,20.916,20.916,20.916,25.222049,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2017-04-16,49.6,49.58,49.608000000000004,49.58,49.96659557,H0
zecusd,2017-04-16,72.905,72.905,72.905,72.905,0.10190502,H0
rrtbtc,2017-04-16,8.3E-5,8.3E-5,8.3E-5,8.3E-5,19.970010000000002,H0
zecbtc,2017-04-16,0.06010700000000001,0.06010700000000001,0.06010700000000001,0.06010700000000001,4.19701342,H0
ltcbtc,2017-04-16,0.0099084,0.0099084,0.0099084,0.0099084,4.99259105,H0
filename,date,open,close,high,low,volume,PPO_RESULT
dshusd,2017-04-16,77.035,77.06,77.06,77.03399999999999,4.0,H0
xmrbtc,2017-04-16,0.017221,0.017221,0.017221,0.017221,20.0,H0
etcusd,2017-04-16,2.6689,2.6694,2.6694,2.6687,7.94982351,H0
etcbtc,2017-04-16,0.0021956999999999996,0.0021958999999999998,0.0021958999999999998,0.0021956999999999996,370.0,H0
