filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-11-18,753.97,753.97,753.97,753.97,0.06864761,H0
rrtusd,2016-11-18,0.06286,0.06286,0.06286,0.06286,30.0,H0
ethbtc,2016-11-18,0.012607,0.012637,0.012638,0.012607,199.21180299,V2
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-11-18,9.526,9.526,9.526,9.526,15.618454999999999,V2
zecusd,2016-11-18,68.71,68.71,68.71,68.71,0.01137634,H0
zecbtc,2016-11-18,0.0918,0.0918,0.0918,0.0918,0.04509635,H0
ltcbtc,2016-11-18,0.00525,0.00525,0.00525,0.00525,0.5,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-11-18,0.875,0.875,0.875,0.875,757.7920320000001,H0
ltcusd,2016-11-18,3.909,3.909,3.909,3.909,10.0,H0
etcbtc,2016-11-18,0.00116,0.0011576,0.00116,0.0011576,170.0,H0
