filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-09-24,602.55,602.55,602.55,602.55,2.5,H0
ethbtc,2016-09-24,0.021376,0.021376,0.021376,0.021376,23.367661,V2
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-09-24,12.860999999999999,12.860999999999999,12.860999999999999,12.860999999999999,35.0,V2
ltcbtc,2016-09-24,0.0063451,0.006225100000000001,0.0063452,0.0062192,1538.71700008,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-09-24,1.25,1.25,1.25,1.25,3.0,H0
ltcusd,2016-09-24,3.8234,3.8234,3.8234,3.8234,68.42399146,H0
etcbtc,2016-09-24,0.002075,0.002075,0.002075,0.002075,5.10180919,H0
