filename,date,open,close,high,low,volume,PPO_RESULT
omnusd,2019-04-03,3.33,3.33,3.33,3.33,9.98,K1
btcusd,2019-04-03,4978.7,4978.0,4980.0,4975.0,15.85622383,V2
dtabtc,2019-04-03,3.0E-7,3.0E-7,3.0E-7,3.0E-7,99850.0,H0
neojpy,2019-04-03,1356.10000011,1356.0,1356.10000011,1356.0,81.8061469,K1
sngeth,2019-04-03,1.074E-4,1.074E-4,1.074E-4,1.074E-4,5395.55718778,H0
yywusd,2019-04-03,0.024225,0.023556999999999998,0.024225,0.023556999999999998,3800.0,H0
euteur,2019-04-03,0.9700200000000001,0.9700200000000001,0.9700200000000001,0.9700200000000001,99.8,H0
gotusd,2019-04-03,0.65162778,0.65089682,0.65162778,0.65089682,1000.0,V2
pasusd,2019-04-03,0.0031,0.0032,0.0032,0.0031,100000.0,V2
csxusd,2019-04-03,0.087001,0.087,0.087001,0.087,1929.41979672,H0
tnbusd,2019-04-03,0.004500100000000001,0.004500100000000001,0.004500100000000001,0.004500100000000001,4258.6330602,V2
udcusd,2019-04-03,1.0051,1.0053,1.0053,1.0051,9929.9,V2
vldeth,2019-04-03,1.95E-5,1.85E-5,1.95E-5,1.85E-5,30000.0,V2
mitusd,2019-04-03,0.054,0.054,0.054006,0.054,1782.15916,H0
btceur,2019-04-03,4425.99634073,4425.99634073,4425.99634073,4425.99634073,0.03049558,H0
enjusd,2019-04-03,0.1471,0.14448,0.1471,0.14448,534.0,H0
wprusd,2019-04-03,0.015,0.015,0.015,0.015,1743.55448983,K1
xvgbtc,2019-04-03,1.73E-6,1.73E-6,1.73E-6,1.73E-6,1845.01845018,H0
rcnbtc,2019-04-03,6.32E-6,6.32E-6,6.32E-6,6.32E-6,811.66541589,H0
seeeth,2019-04-03,6.0E-6,6.0E-6,6.0E-6,6.0E-6,240560.88994116,H0
veeusd,2019-04-03,0.00503,0.0048850000000000005,0.00503,0.0048850000000000005,8073.62513733,H0
etheur,2019-04-03,143.11,143.30019095,143.30019095,143.11,3.25,V2
mlneth,2019-04-03,0.0607,0.0607,0.0607,0.0607,8.072,H0
paiusd,2019-04-03,0.0653,0.0626,0.0653,0.0626,6348.44983291,H0
utnusd,2019-04-03,0.0037,0.00361,0.0037,0.00361,11838.01023178,H0
xrpbtc,2019-04-03,6.890000000000001E-5,6.879999999999999E-5,6.891E-5,6.879999999999999E-5,12656.0,H0
ctxeth,2019-04-03,0.0013164000000000001,0.0013164000000000001,0.0013164000000000001,0.0013164000000000001,112.69722014,H0
xvgeur,2019-04-03,0.00739261,0.00739261,0.00739261,0.00739261,23392.982999999997,V2
dthbtc,2019-04-03,1.86E-6,1.86E-6,1.86E-6,1.86E-6,4354.53534647,H0
iqxeos,2019-04-03,6.259999999999999E-4,6.259999999999999E-4,6.259999999999999E-4,6.259999999999999E-4,119.24855099,H0
qsheth,2019-04-03,0.0010167,0.0010167,0.0010167,0.0010167,985.22649,H0
rbtbtc,2019-04-03,1.0019,1.0019,1.0019,1.0019,0.0227,V2
rrtusd,2019-04-03,0.047166,0.046697,0.047166,0.046697,2445.37002319,H0
sntbtc,2019-04-03,5.67E-6,5.67E-6,5.67E-6,5.67E-6,797.6016,H0
ethjpy,2019-04-03,17945.0,17900.0,17945.0,17900.0,43.49823931,V2
rlcusd,2019-04-03,0.51072,0.51072,0.51072,0.51072,55.641000000000005,K1
cbtbtc,2019-04-03,4.53E-6,4.53E-6,4.53E-6,4.53E-6,31030.0,H0
essbtc,2019-04-03,2.16E-7,2.16E-7,2.16E-7,2.16E-7,50980.0,H0
paibtc,2019-04-03,1.276E-5,1.279E-5,1.279E-5,1.276E-5,621.35845847,H0
veebtc,2019-04-03,9.7E-7,9.7E-7,9.7E-7,9.7E-7,8191.166920000001,H0
ncausd,2019-04-03,0.0020978999999999998,0.0020978000000000004,0.0020978999999999998,0.0020978000000000004,250000.00918886,H0
zcneth,2019-04-03,5.401E-4,5.401E-4,5.401E-4,5.401E-4,576.7,H0
batusd,2019-04-03,0.28088,0.28088,0.28088,0.28088,300.0,H0
atmbtc,2019-04-03,5.588E-7,5.762E-7,5.841E-7,5.509E-7,48180.0,H0
sanbtc,2019-04-03,1.1666E-4,1.1159E-4,1.1666E-4,1.1159E-4,915.17447718,H0
dadbtc,2019-04-03,8.99E-6,8.96E-6,8.99E-6,8.96E-6,634.9202,K1
ethbtc,2019-04-03,0.033617,0.032377,0.0349,0.031203,73669.86865722,H0
gntusd,2019-04-03,0.09401,0.092805,0.09401,0.092805,13991.891000000001,V2
repeth,2019-04-03,0.12312000000000001,0.12312000000000001,0.12312000000000001,0.12312000000000001,2.2319999999999998,H0
waxbtc,2019-04-03,1.283E-5,1.283E-5,1.283E-5,1.283E-5,2304.04303299,H0
xlmgbp,2019-04-03,0.090389,0.090389,0.090389,0.090389,880.60746095,H0
lrcbtc,2019-04-03,1.631E-5,1.631E-5,1.631E-5,1.631E-5,603.92241408,V2
xtzbtc,2019-04-03,1.9146E-4,1.9146E-4,1.9146E-4,1.9146E-4,79.15567282,H0
onlusd,2019-04-03,0.042,0.04063,0.04699,0.03564,1413.0,H0
orseth,2019-04-03,1.637E-4,1.637E-4,1.637E-4,1.637E-4,1759.0,V2
dgxeth,2019-04-03,0.26377,0.26377,0.26377,0.26377,0.9,K1
btcust,2019-04-03,4964.5,4964.5,4964.5,4964.5,0.03015864,H0
fsnusd,2019-04-03,0.62,0.62,0.62,0.62,32.0,H0
funusd,2019-04-03,0.0056856,0.0053381,0.006098,0.0051133,2539698.56096984,H0
qshbtc,2019-04-03,3.199E-5,3.78E-5,3.78E-5,3.199E-5,1904.38517239,H0
antusd,2019-04-03,0.588,0.588,0.588,0.588,154.86118307,H0
avteth,2019-04-03,0.001401,0.0014,0.001401,0.0014,3993.52401511,K1
edoeth,2019-04-03,0.0041708,0.0042,0.0042,0.0041708,866.0,H0
elfbtc,2019-04-03,3.97E-5,3.972E-5,3.972E-5,3.97E-5,124.69690148,V2
hotbtc,2019-04-03,1.19E-6,1.21E-6,1.21E-6,1.19E-6,5017.89353694,K1
odeeth,2019-04-03,0.001405,0.0013597000000000001,0.001405,0.0013597000000000001,4946.83005724,V2
aucbtc,2019-04-03,2.93E-6,2.93E-6,2.93E-6,2.93E-6,778.0,H0
zrxbtc,2019-04-03,7.122E-5,7.122E-5,7.122E-5,7.122E-5,76.23,V2
enjeth,2019-04-03,9.199999999999999E-4,9.199999999999999E-4,9.199999999999999E-4,9.199999999999999E-4,151.12125572,H0
onleth,2019-04-03,2.971E-4,3.142E-4,3.142E-4,2.971E-4,755.7,H0
pnkusd,2019-04-03,0.008363200000000001,0.0083421,0.008363200000000001,0.0083421,29920.04,H0
rbtusd,2019-04-03,5102.5,5102.5,5102.5,5102.5,0.002,H0
bnteth,2019-04-03,0.0041981,0.0041981,0.0041981,0.0041981,99.8,H0
bntusd,2019-04-03,0.6106600000000001,0.6106600000000001,0.6106600000000001,0.6106600000000001,181.4049328,H0
rcnusd,2019-04-03,0.030057999999999998,0.029581,0.030057999999999998,0.029581,3160.173986,V2
seneth,2019-04-03,1.022E-5,1.022E-5,1.022E-5,1.022E-5,8888.0,K1
aidusd,2019-04-03,0.055,0.0549,0.055,0.0549,4437.87444132,H0
goteth,2019-04-03,0.004197,0.00413,0.004197,0.00413,18.41,H0
iqxusd,2019-04-03,0.0031445,0.0030503,0.0031445,0.0030503,48373.0,H0
qtmeth,2019-04-03,0.020169,0.020169,0.020169,0.020169,8.40551426,K1
iotbtc,2019-04-03,6.813E-5,6.814E-5,6.814E-5,6.813E-5,138.0,H0
utkbtc,2019-04-03,6.09E-6,6.09E-6,6.09E-6,6.09E-6,1639.87149442,H0
xvgjpy,2019-04-03,1.02079964,1.02549126,1.02549126,1.02079964,48708.29868212,H0
datusd,2019-04-03,0.02535,0.025,0.02535,0.025,13147.816015,H0
bcibtc,2019-04-03,2.393E-5,2.393E-5,2.393E-5,2.393E-5,233.53827395,K1
bftusd,2019-04-03,0.031004000000000004,0.0296,0.031004000000000004,0.0296,6921.26533266,V2
dateth,2019-04-03,1.5906E-4,1.5906E-4,1.5906E-4,1.5906E-4,3253.72551572,H0
dshbtc,2019-04-03,0.02505,0.02505,0.02505,0.02505,2.002002,H0
etpeth,2019-04-03,0.0055853000000000005,0.0055915,0.0055915,0.0055853000000000005,212.51862396,H0
bttusd,2019-04-03,7.551E-4,7.551E-4,7.551E-4,7.551E-4,115410.95276592,H0
vsyusd,2019-04-03,0.09222899999999999,0.09222899999999999,0.09222899999999999,0.09222899999999999,407.9746,H0
xrpusd,2019-04-03,0.34253,0.34271,0.34271,0.34252,18256.24623401,V2
poausd,2019-04-03,0.043882,0.043882,0.043882,0.043882,988.41088241,H0
vetusd,2019-04-03,0.0074154,0.0072899,0.0074154,0.0072899,13746.9151,H0
yggeth,2019-04-03,2.57E-6,2.57E-6,2.57E-6,2.57E-6,463807.8000000001,H0
babusd,2019-04-03,300.61,300.94,301.99,300.57,74.30427412,H0
elfeth,2019-04-03,0.0012529000000000002,0.0012588,0.0012588,0.0012529000000000002,319.97486049,V2
mtnusd,2019-04-03,0.008,0.008,0.008,0.008,2994.0,H0
btcjpy,2019-04-03,554522.47225438,554522.47225438,554522.47225438,554522.47225438,0.03049505,V2
saneth,2019-04-03,0.00386,0.00386,0.00386,0.00386,77.909088,H0
tknusd,2019-04-03,0.61,0.61,0.61,0.61,820.98468934,H0
xvgusd,2019-04-03,0.008311399999999998,0.008311399999999998,0.008311399999999998,0.008311399999999998,3902.76,H0
intusd,2019-04-03,0.02754,0.02754,0.02754,0.02754,996.44,K1
rifusd,2019-04-03,0.10680999999999999,0.10680999999999999,0.10680999999999999,0.10680999999999999,5490.14434403,K1
stjeth,2019-04-03,0.0020802,0.0020703,0.0020968,0.0019482,4055.61846324,V2
lrcusd,2019-04-03,0.090865,0.090865,0.090865,0.090865,292.06468949,V2
sanusd,2019-04-03,0.60115,0.60115,0.60115,0.60115,555.93565899,H0
aidbtc,2019-04-03,1.039E-5,1.039E-5,1.039E-5,1.039E-5,1045.58762,H0
dtaeth,2019-04-03,8.71E-6,9.28E-6,1.033E-5,8.71E-6,166473.91792124,H0
spkusd,2019-04-03,0.01266,0.01266,0.01266,0.01266,2155.77672494,H0
rdneth,2019-04-03,0.002373,0.0024165,0.0024167,0.002373,520.61167046,K1
cndbtc,2019-04-03,4.232E-6,4.232E-6,4.232E-6,4.232E-6,4632.0,H0
omgeth,2019-04-03,0.012482,0.012482,0.012482,0.012482,71.8518785,H0
sntusd,2019-04-03,0.027999999999999997,0.027999999999999997,0.027999999999999997,0.027999999999999997,799.2,V2
bntbtc,2019-04-03,1.3013E-4,1.3013E-4,1.3013E-4,1.3013E-4,181.4049328,H0
aioeth,2019-04-03,0.00126,0.00126,0.00126,0.00126,742.965373,H0
pnketh,2019-04-03,5.378E-5,5.4000000000000005E-5,5.4000000000000005E-5,5.378E-5,29980.0,H0
anteth,2019-04-03,0.004834,0.004999,0.004999,0.004834,45.61,K1
mkrdai,2019-04-03,739.04,739.04,739.04,739.04,1.19072805,H0
agiusd,2019-04-03,0.0519,0.0519,0.0519,0.0519,2734.263,H0
avtbtc,2019-04-03,7.224E-5,4.622E-5,7.224E-5,4.622E-5,157.84799999999998,H0
bbneth,2019-04-03,1.0E-5,1.0E-5,1.0E-5,1.0E-5,101288.91050584,H0
waxusd,2019-04-03,0.06643500000000001,0.06643500000000001,0.06643500000000001,0.06643500000000001,2014.38100017,H0
cndusd,2019-04-03,0.016222,0.016222,0.016222,0.016222,7753.03800267,K1
sngbtc,2019-04-03,3.69E-6,3.69E-6,3.69E-6,3.69E-6,1999.9920000000002,V2
yggusd,2019-04-03,4.4203E-4,4.2E-4,4.4203E-4,4.2E-4,405442.04124514,K1
xmrusd,2019-04-03,65.848,65.915,65.915,65.848,1.50848315,V2
clobtc,2019-04-03,8.0E-7,7.8E-7,8.0E-7,7.8E-7,16151.56863062,H0
daieth,2019-04-03,0.0060898,0.0060898,0.0060898,0.0060898,60.0,K1
ioseth,2019-04-03,6.518E-5,6.518E-5,6.518E-5,6.518E-5,5701.25,H0
zrxdai,2019-04-03,0.34307,0.34833000000000003,0.34833000000000003,0.34307,360.0,H0
cbteth,2019-04-03,1.465E-4,1.461E-4,1.465E-4,1.461E-4,1378.0,K1
iosbtc,2019-04-03,2.6E-6,2.6E-6,2.6E-6,2.6E-6,5701.25,H0
esseth,2019-04-03,7.2000000000000005E-6,7.2000000000000005E-6,7.2000000000000005E-6,7.2000000000000005E-6,19473.0312856,H0
stjusd,2019-04-03,0.3091,0.3091,0.3091,0.3091,119.76,H0
xrausd,2019-04-03,0.02,0.02,0.02,0.02,38448.34860889,H0
iqxbtc,2019-04-03,6.8E-7,6.8E-7,6.8E-7,6.8E-7,34262.4090909,H0
odebtc,2019-04-03,4.971E-5,4.986E-5,4.986E-5,4.971E-5,775.0,V2
neobtc,2019-04-03,0.0023649,0.0024477,0.002675,0.0023541,93835.93497092,K1
ustusd,2019-04-03,1.0079,1.0083,1.0094,1.0079,18482.92133505,H0
utketh,2019-04-03,1.8754E-4,1.8717E-4,1.8754E-4,1.8717E-4,1999.20759889,H0
drneth,2019-04-03,5.314E-4,5.119E-4,5.314E-4,5.119E-4,287.5,H0
lrceth,2019-04-03,4.4315E-4,4.4315E-4,4.4315E-4,4.4315E-4,462.02,V2
vetbtc,2019-04-03,1.48E-6,1.48E-6,1.48E-6,1.48E-6,3840.01031032,H0
ethusd,2019-04-03,161.1,161.17,161.3,160.78,434.03068535,V2
hotusd,2019-04-03,0.005869300000000001,0.005869300000000001,0.005869300000000001,0.005869300000000001,12962.95981267,H0
aideth,2019-04-03,3.1787E-4,3.1786E-4,3.1787E-4,3.1786E-4,996.22923115,H0
aiousd,2019-04-03,0.21105,0.21105,0.21105,0.21105,100.0,V2
clousd,2019-04-03,0.004678,0.004678,0.004678,0.004678,4600.0,V2
dgxusd,2019-04-03,41.468,41.754,41.754,41.468,3.79469951,H0
eoseth,2019-04-03,0.032632,0.032632,0.032632,0.032632,86.73509287,H0
aucusd,2019-04-03,0.013980000000000001,0.013980000000000001,0.013980000000000001,0.013980000000000001,6636.18934885,H0
bftbtc,2019-04-03,6.21E-6,6.21E-6,6.21E-6,6.21E-6,891.26533266,H0
ioteur,2019-04-03,0.3012,0.3012,0.3012,0.3012,447.83844815,H0
knceth,2019-04-03,0.0018283000000000002,0.0018283000000000002,0.0018283000000000002,0.0018283000000000002,290.32632679,V2
veeeth,2019-04-03,3.069E-5,3.007E-5,3.069E-5,3.007E-5,20676.46989406,H0
paxusd,2019-04-03,1.0001,1.0,1.0001,1.0,144.58988434,H0
kncbtc,2019-04-03,5.896E-5,5.896E-5,5.896E-5,5.896E-5,891.26559715,V2
repusd,2019-04-03,19.588,19.588,19.588,19.588,8.21030823,H0
senusd,2019-04-03,0.00201,0.00201,0.00201,0.00201,15000.0,K1
atmusd,2019-04-03,8.1705E-4,8.1705E-4,8.1705E-4,8.1705E-4,30000.0,H0
iotgbp,2019-04-03,0.25706999999999997,0.25706999999999997,0.25706999999999997,0.25706999999999997,447.76140707,H0
neousd,2019-04-03,12.157,12.18162801,12.18216112,12.157,328.02071132,K1
qshusd,2019-04-03,0.16,0.16,0.16,0.16,317.0,H0
eosjpy,2019-04-03,584.23000037,584.23000037,584.23000037,584.23000037,94.84824343,H0
tkneth,2019-04-03,0.0035,0.0035,0.0035,0.0035,2135.33163767,H0
xlmbtc,2019-04-03,2.459E-5,2.459E-5,2.459E-5,2.459E-5,155.13498434,H0
dadeth,2019-04-03,2.7735E-4,2.7735E-4,2.7735E-4,2.7735E-4,904.238,H0
hoteth,2019-04-03,3.495E-5,3.495E-5,3.495E-5,3.495E-5,4108.2,K1
rdnbtc,2019-04-03,8.2E-5,8.2E-5,8.2E-5,8.2E-5,196.21377241,H0
iosusd,2019-04-03,0.0142,0.0142,0.0142,0.0142,2500.0,H0
orsbtc,2019-04-03,5.068E-6,4.726E-6,5.068E-6,4.726E-6,3645.0,H0
dgbbtc,2019-04-03,3.01E-6,2.99E-6,3.01E-6,2.99E-6,4330.78588096,V2
aiobtc,2019-04-03,4.046E-5,4.046E-5,4.046E-5,4.046E-5,978.12308934,V2
ethust,2019-04-03,159.98,160.08,160.31,159.98,48.21832622,H0
poaeth,2019-04-03,2.509E-4,2.507E-4,2.509E-4,2.507E-4,5883.0,H0
bciusd,2019-04-03,0.12063,0.12063,0.12063,0.12063,383.60956323,H0
btcgbp,2019-04-03,3780.8,3777.9,3780.8,3777.9,0.51589874,V2
dthusd,2019-04-03,0.01214,0.01214,0.01214,0.01214,1620.0,H0
bfteth,2019-04-03,1.9612E-4,1.9612E-4,1.9612E-4,1.9612E-4,1116.88166639,H0
poyeth,2019-04-03,7.5844E-4,7.6624E-4,7.6624E-4,7.5844E-4,1104.81219114,H0
xlmeur,2019-04-03,0.10826,0.10826,0.10826,0.10826,900.0,H0
fsnbtc,2019-04-03,1.13E-4,1.13E-4,1.13E-4,1.13E-4,155.3,V2
funbtc,2019-04-03,1.07E-6,1.07E-6,1.07E-6,1.07E-6,5486.89866746,H0
seebtc,2019-04-03,2.3E-7,2.3E-7,2.3E-7,2.3E-7,23893.1009,H0
spketh,2019-04-03,7.269999999999999E-5,7.269999999999999E-5,7.269999999999999E-5,7.269999999999999E-5,1344.34123451,H0
ctxbtc,2019-04-03,4.186E-5,4.186E-5,4.186E-5,4.186E-5,390.25033624,H0
cbtusd,2019-04-03,0.027399,0.022000000000000002,0.027399,0.022000000000000002,3151.792,H0
cndeth,2019-04-03,1.227E-4,1.227E-4,1.227E-4,1.227E-4,4730.0,H0
eutusd,2019-04-03,1.08689367,1.08689367,1.08689367,1.08689367,99.8,V2
stjbtc,2019-04-03,6.601E-5,6.601E-5,6.601E-5,6.601E-5,151.76809834,H0
bttbtc,2019-04-03,1.6E-7,1.6E-7,1.6E-7,1.6E-7,125000.0,V2
eosgbp,2019-04-03,3.9799,3.9799,3.9799,3.9799,94.8673387,H0
mtnbtc,2019-04-03,1.85E-6,1.85E-6,1.85E-6,1.85E-6,4397.3164497,H0
zecusd,2019-04-03,68.75,68.75,68.75,68.75,0.33714079,H0
