filename,date,open,close,high,low,volume,PPO_RESULT
btcusd,2016-10-18,638.8,638.68,638.8,638.68,1.5820059199999998,H0
rrtusd,2016-10-18,0.092,0.092,0.092,0.092,544.0339,H0
ethbtc,2016-10-18,0.019685,0.019685,0.019685,0.019685,33.31938439,H0
filename,date,open,close,high,low,volume,PPO_RESULT
ethusd,2016-10-18,12.605,12.610999999999999,12.610999999999999,12.605,10.699192190000002,H0
rrtbtc,2016-10-18,1.51E-4,1.51E-4,1.51E-4,1.416E-4,11455.91552095,H0
ltcbtc,2016-10-18,0.006041899999999999,0.006041899999999999,0.006041899999999999,0.006041899999999999,0.24837199,H0
filename,date,open,close,high,low,volume,PPO_RESULT
etcusd,2016-10-18,1.0582,1.0582,1.0582,1.0582,1.0152379999999999,H0
ltcusd,2016-10-18,3.8272,3.8272,3.8272,3.8272,0.24787525,H0
etcbtc,2016-10-18,0.0016588000000000002,0.0016588000000000002,0.0016588000000000002,0.0016588000000000002,200.0,H0
